18,沈阳药科大学,J01,1, ( J0108 ) ,沈阳药科大学基础药学基地,120万元,2008年01月01日 至 2010年12月31日,毕开顺,http://fund.sciencenet.cn/index.php/item/view/167471
56,沈阳药科大学,H28,5,民族药学 ( H2818 ) ,NMR选择性分离技术对两种侗族特色药材抗肿瘤活性物质基础的研究,33万元,2011年01月01日 至 2013年12月31日,孟大利,http://fund.sciencenet.cn/index.php/item/view/49685
57,沈阳药科大学,H28,5,中药神经精神药理 ( H2808 ) ,基于钠离子通道的蝎镇痛活性肽镇痛作用机制研究,33万元,2011年01月01日 至 2013年12月31日,李春莉,http://fund.sciencenet.cn/index.php/item/view/49684
58,沈阳药科大学,H28,5,中药药效物质 ( H2803 ) ,牛黄解毒片中对雄黄具有解毒作用的物质基础研究,35万元,2011年01月01日 至 2013年12月31日,裴月湖,http://fund.sciencenet.cn/index.php/item/view/49683
59,沈阳药科大学,H30,5,药剂学 ( H3008 ) ,多肽-金属配合物纳米结晶及其口服吸收机制的研究,28万元,2011年01月01日 至 2013年12月31日,石凯,http://fund.sciencenet.cn/index.php/item/view/49682
60,沈阳药科大学,H30,5,药剂学 ( H3008 ) ,可断裂PEG脂质衍生物消除或减轻ABC现象的研究,34万元,2011年01月01日 至 2013年12月31日,邓意辉,http://fund.sciencenet.cn/index.php/item/view/49681
61,沈阳药科大学,H30,5,生物技术药物 ( H3004 ) ,镇痛抗肿瘤缬精甘肽的结构与功能关系研究,36万元,2011年01月01日 至 2013年12月31日,张景海,http://fund.sciencenet.cn/index.php/item/view/49680
62,沈阳药科大学,H30,5,合成药物化学 ( H3001 ) ,JZY03及其类似物的抗癌作用机理和构效关系研究,32万元,2011年01月01日 至 2013年12月31日,赵临襄,http://fund.sciencenet.cn/index.php/item/view/49679
94,沈阳药科大学,C01,9,微生物遗传育种 ( C010302 ) ,氨基糖苷类抗生素中3'-脱羟基酶基因的研究,8万元,2009年01月01日 至 2009年12月31日,夏焕章,http://fund.sciencenet.cn/index.php/item/view/130406
164,沈阳药科大学,B02,13,中草药与植物化学 ( B020402 ) ,口服小檗碱体内代谢产物及其衍生物降血脂活性构效关系研究,32万元,2010年01月01日 至 2012年12月31日,康宁,http://fund.sciencenet.cn/index.php/item/view/253032
165,沈阳药科大学,B02,13,微生物与真菌化学 ( B020405 ) ,极端微生物抗肿瘤活性代谢产物的快速检测与发现,27万元,2009年01月01日 至 2011年12月31日,华会明,http://fund.sciencenet.cn/index.php/item/view/251274
166,沈阳药科大学,B05,13,药物与临床分析 ( B050903 ) ,利水渗湿中药泽泻、牵牛子肾毒性的代谢组学研究,30万元,2009年01月01日 至 2011年12月31日,陈晓辉,http://fund.sciencenet.cn/index.php/item/view/251724
167,沈阳药科大学,B01,13,无机超分子化学 ( B0113 ) ,新型阴离子受体多环芳酸的多功能信号响应方法学研究,15万元,2009年01月01日 至 2009年12月31日,侯晓虹,http://fund.sciencenet.cn/index.php/item/view/251144
168,沈阳药科大学,B05,13,液相色谱 ( B050102 ) ,骨碎补补肾壮骨药效物质基础的代谢组学研究,20万元,2008年01月01日 至 2010年12月31日,熊志立,http://fund.sciencenet.cn/index.php/item/view/249265
8,沈阳药科大学,H30,15,药剂学 ( H3008 ) ,蛋白质-金属配合物结晶缓释给药系统的研究,17万元,2008年01月01日 至 2010年12月31日,石凯,http://fund.sciencenet.cn/index.php/item/view/269576
7,沈阳药科大学,H30,16,药剂学 ( H3008 ) ,配体介导的pH敏感聚酰胺-胺聚离子复合胶束的研究,30万元,2009年01月01日 至 2011年12月31日,陈大为,http://fund.sciencenet.cn/index.php/item/view/277742
108,沈阳药科大学,C03,16,分子生态学 ( C030101 ) ,环境中持久存在抗生素抗性基因传播机制及生态风险,35万元,2009年01月01日 至 2011年12月31日,毛大庆,http://fund.sciencenet.cn/index.php/item/view/275128
109,沈阳药科大学,H30,16,药物材料 ( H3009 ) ,新型温度/pH双敏自组装嵌段共聚物及其载药系统的研究,21万元,2009年01月01日 至 2011年12月31日,乔明曦,http://fund.sciencenet.cn/index.php/item/view/274117
110,沈阳药科大学,H30,16,药剂学 ( H3008 ) ,脂质体电动色谱与药物吸收和分布的关系,20万元,2009年01月01日 至 2011年12月31日,王永军,http://fund.sciencenet.cn/index.php/item/view/274106
111,沈阳药科大学,H31,16,药物代谢与药物动力学 ( H3110 ) ,染料木素组织分布影响因素及对乳腺肿瘤的作用研究,20万元,2009年01月01日 至 2011年12月31日,徐海燕,http://fund.sciencenet.cn/index.php/item/view/274084
112,沈阳药科大学,H29,16,中医药学研究新技术和新方法 ( H2903 ) ,系列抗癌止痛肽的一级结构解析及其基因工程表达,28万元,2008年01月01日 至 2010年12月31日,张景海,http://fund.sciencenet.cn/index.php/item/view/272621
113,沈阳药科大学,H28,16,中药药效物质 ( H2803 ) ,北沙参木脂素抑制脯氨酰寡肽酶活性及影响学习记忆作用机理的研究,30万元,2008年01月01日 至 2010年12月31日,原忠,http://fund.sciencenet.cn/index.php/item/view/272602
114,沈阳药科大学,H28,16,中药药效物质 ( H2803 ) ,中国特有植物海南五层龙抗糖尿病及并发症的物质基础研究,30万元,2008年01月01日 至 2010年12月31日,高慧媛,http://fund.sciencenet.cn/index.php/item/view/272601
115,沈阳药科大学,H30,16,药剂学 ( H3008 ) ,自组装有机原位注射植入凝胶长效传递系统的研究,25万元,2008年01月01日 至 2010年12月31日,李三鸣,http://fund.sciencenet.cn/index.php/item/view/272562
116,沈阳药科大学,H30,16,天然药物化学 ( H3002 ) ,含有特殊寡糖模块的齐墩果酸皂苷衍生物的设计、合成与抗肿瘤活性研究,25万元,2008年01月01日 至 2010年12月31日,程卯生,http://fund.sciencenet.cn/index.php/item/view/272533
3,沈阳药科大学,H31,17,药物代谢与药物动力学 ( H3110 ) ,靶向肠寡肽转运蛋白去羟肌苷口服前药的研究,22万元,2010年01月01日 至 2012年12月31日,孙进,http://fund.sciencenet.cn/index.php/item/view/284105
144,沈阳药科大学,H31,17,抗肿瘤药物药理 ( H3105 ) ,外源性甲酰肽受体FPR干扰剂- - 原花青素低聚体F2抗胶质瘤的作用与机理研究,28万元,2010年01月01日 至 2012年12月31日,杨静玉,http://fund.sciencenet.cn/index.php/item/view/284077
145,沈阳药科大学,H10,17,炎症、感染与免疫 ( H1005 ) ,针对细菌/真菌的通用性模式识别蛋白的结构解析与识别特性,28万元,2010年01月01日 至 2012年12月31日,张嵘,http://fund.sciencenet.cn/index.php/item/view/283319
146,沈阳药科大学,H29,17,中医药学研究新技术和新方法 ( H2903 ) ,东亚钳蝎镇痛活性肽对钠离子通道的作用研究,20万元,2010年01月01日 至 2012年12月31日,杨倬,http://fund.sciencenet.cn/index.php/item/view/280035
147,沈阳药科大学,H28,17,中药药代动力学 ( H2816 ) ,建立预测中药有效单体与绿茶提取物发生药物相互作用的分子药动学模型,20万元,2010年01月01日 至 2012年12月31日,刘晓红,http://fund.sciencenet.cn/index.php/item/view/280015
148,沈阳药科大学,H28,17,中药质量评价 ( H2804 ) ,槲寄生的次生代谢与寄主的相关性研究及槲寄生药材质量评价模式的建立,20万元,2010年01月01日 至 2012年12月31日,赵云丽,http://fund.sciencenet.cn/index.php/item/view/279987
149,沈阳药科大学,H30,17,生物技术药物 ( H3004 ) ,两种镇痛活性肽的结构解析、可溶性表达及对靶细胞离子浓度的影响,19万元,2010年01月01日 至 2012年12月31日,刘岩峰,http://fund.sciencenet.cn/index.php/item/view/279893
150,沈阳药科大学,H30,17,药剂学 ( H3008 ) ,小干扰RNA药物脑主动靶向传递系统,22万元,2010年01月01日 至 2012年12月31日,姜同英,http://fund.sciencenet.cn/index.php/item/view/279885
151,沈阳药科大学,H28,17,中药药效物质 ( H2803 ) ,小陷胸汤药效物质基础及配伍机理的研究,35万元,2009年01月01日 至 2011年12月31日,裴月湖,http://fund.sciencenet.cn/index.php/item/view/277914
152,沈阳药科大学,H30,17,药剂学 ( H3008 ) ,难溶性药物的纳米尺寸对纳米混悬剂稳定性的影响,35万元,2009年01月01日 至 2011年12月31日,崔福德,http://fund.sciencenet.cn/index.php/item/view/277743
16,沈阳药科大学,H28,18,中药神经精神药理 ( H2808 ) ,新型抗老年痴呆候选药物PF11抑制小胶质细胞活化的机制研究,28万元,2010年01月01日 至 2012年12月31日,吴春福,http://fund.sciencenet.cn/index.php/item/view/284401
27,沈阳药科大学,H28,18,中药药效物质 ( H2803 ) ,中药芫花炮制前后物质基础及抗肿瘤活性改变的相关性研究,31万元,2010年01月01日 至 2012年12月31日,宋少江,http://fund.sciencenet.cn/index.php/item/view/284379
28,沈阳药科大学,H28,18,中药药效物质 ( H2803 ) ,朱砂安神丸中对朱砂具有解毒作用的物质基础研究,31万元,2010年01月01日 至 2012年12月31日,白皎,http://fund.sciencenet.cn/index.php/item/view/284378
29,沈阳药科大学,H30,18,药物分析 ( H3010 ) ,手性离子液体在毛细管电泳法手性药物分离中的应用,30万元,2010年01月01日 至 2012年12月31日,郭兴杰,http://fund.sciencenet.cn/index.php/item/view/284191
30,沈阳药科大学,H30,18,药剂学 ( H3008 ) ,以肠寡肽转运蛋白为靶点的阿糖胞苷拟肽类前药的设计与评价,30万元,2010年01月01日 至 2012年12月31日,何仲贵,http://fund.sciencenet.cn/index.php/item/view/284171
31,沈阳药科大学,H30,18,药剂学 ( H3008 ) ,l-香芹醇酯类衍生物经皮促透作用的可逆性及其机理研究,30万元,2010年01月01日 至 2012年12月31日,方亮,http://fund.sciencenet.cn/index.php/item/view/284170
32,沈阳药科大学,H30,18,药物设计与药物信息 ( H3007 ) ,以细胞色素P450 26为靶点的新型维甲酸代谢阻断剂的研究,30万元,2010年01月01日 至 2012年12月31日,赵冬梅,http://fund.sciencenet.cn/index.php/item/view/284159
33,沈阳药科大学,H30,18,天然药物化学 ( H3002 ) ,莪术醇化学惰性位置的结构修饰及抗病毒活性研究,36万元,2010年01月01日 至 2012年12月31日,邱峰,http://fund.sciencenet.cn/index.php/item/view/284146
34,沈阳药科大学,H30,18,合成药物化学 ( H3001 ) ,中药来源血管破坏抗肿瘤活性天然产物的发现与优化,30万元,2010年01月01日 至 2012年12月31日,张为革,http://fund.sciencenet.cn/index.php/item/view/284130
35,沈阳药科大学,H30,18,合成药物化学 ( H3001 ) ,柳穿鱼酸衍生物的设计、合成及其抗脑缺血活性研究,36万元,2010年01月01日 至 2012年12月31日,程卯生,http://fund.sciencenet.cn/index.php/item/view/284129
25,沈阳药科大学,H31,19,抗肿瘤药物药理 ( H3105 ) ,c-FLIP作为取代环戊酮类抗肿瘤活性化合物的分子靶标的研究,20万元,2011年01月01日 至 2012年12月31日,景永奎,http://fund.sciencenet.cn/index.php/item/view/324200
26,沈阳药科大学,H28,19,民族药学 ( H2818 ) ,抗癌民族药物暗消藤活性组分及其作用机制研究,32万元,2010年01月01日 至 2012年12月31日,殷军,http://fund.sciencenet.cn/index.php/item/view/284467
